country,nuts_3,cases,datetime
CZ,Středočeský kraj,384,2020-03-30T18:30:00
CZ,Hlavní město Praha,791,2020-03-30T18:30:00
CZ,Pardubický kraj,80,2020-03-30T20:30:00
CZ,Jihočeský kraj,88,2020-03-30T20:30:00
CZ,Královéhradecký kraj,89,2020-03-30T20:30:00
CZ,Liberecký kraj,90,2020-03-30T20:30:00
CZ,Nezjištěno,98,2020-03-30T20:30:00
CZ,Karlovarský kraj,100,2020-03-30T20:30:00
CZ,Kraj Vysočina,103,2020-03-30T20:30:00
CZ,Plzeňský kraj,120,2020-03-30T20:30:00
CZ,Zlínský kraj,129,2020-03-30T20:30:00
CZ,Ústecký kraj,138,2020-03-30T20:30:00
CZ,Jihomoravský kraj,175,2020-03-30T20:30:00
CZ,Olomoucký kraj,273,2020-03-30T20:30:00
CZ,Moravskoslezský kraj,293,2020-03-30T20:30:00
CZ,Středočeský kraj,384,2020-03-30T20:30:00
CZ,Hlavní město Praha,796,2020-03-30T20:30:00
CZ,Pardubický kraj,80,2020-03-30T22:25:00
CZ,Jihočeský kraj,89,2020-03-30T22:25:00
CZ,Královéhradecký kraj,89,2020-03-30T22:25:00
CZ,Liberecký kraj,90,2020-03-30T22:25:00
CZ,Karlovarský kraj,100,2020-03-30T22:25:00
CZ,Kraj Vysočina,104,2020-03-30T22:25:00
CZ,Plzeňský kraj,109,2020-03-30T22:25:00
CZ,Nezjištěno,123,2020-03-30T22:25:00
CZ,Zlínský kraj,129,2020-03-30T22:25:00
CZ,Ústecký kraj,138,2020-03-30T22:25:00
CZ,Jihomoravský kraj,174,2020-03-30T22:25:00
CZ,Olomoucký kraj,273,2020-03-30T22:25:00
CZ,Moravskoslezský kraj,293,2020-03-30T22:25:00
CZ,Středočeský kraj,385,2020-03-30T22:25:00
CZ,Hlavní město Praha,800,2020-03-30T22:25:00
CZ,Nezjištěno,65,2020-03-31T00:30:00
CZ,Pardubický kraj,80,2020-03-31T00:30:00
CZ,Liberecký kraj,91,2020-03-31T00:30:00
CZ,Královéhradecký kraj,92,2020-03-31T00:30:00
CZ,Jihočeský kraj,94,2020-03-31T00:30:00
CZ,Karlovarský kraj,102,2020-03-31T00:30:00
CZ,Kraj Vysočina,108,2020-03-31T00:30:00
CZ,Zlínský kraj,129,2020-03-31T00:30:00
CZ,Plzeňský kraj,137,2020-03-31T00:30:00
CZ,Ústecký kraj,140,2020-03-31T00:30:00
CZ,Jihomoravský kraj,175,2020-03-31T00:30:00
CZ,Olomoucký kraj,280,2020-03-31T00:30:00
CZ,Moravskoslezský kraj,302,2020-03-31T00:30:00
CZ,Středočeský kraj,391,2020-03-31T00:30:00
CZ,Hlavní město Praha,815,2020-03-31T00:30:00
