country,lau,cases,datetime
IE,Mayo,3165.0,2020-04-19T00:00:00
IE,Kerry,3342.0,2020-04-19T00:00:00
IE,Louth,3439.0,2020-04-19T00:00:00
IE,Cavan,3516.0,2020-04-19T00:00:00
IE,Tipperary,3623.0,2020-04-19T00:00:00
IE,Donegal,3711.0,2020-04-19T00:00:00
IE,Galway,3745.0,2020-04-19T00:00:00
IE,Westmeath,3884.0,2020-04-19T00:00:00
IE,Limerick,4345.0,2020-04-19T00:00:00
IE,Meath,4890.0,2020-04-19T00:00:00
IE,Wicklow,4930.0,2020-04-19T00:00:00
IE,Kildare,6808.0,2020-04-19T00:00:00
IE,Cork,12623.0,2020-04-19T00:00:00
IE,Dublin,87477.0,2020-04-19T00:00:00
IE,Leitrim,595.0,2020-04-20T00:00:00
IE,Carlow,653.0,2020-04-20T00:00:00
IE,Roscommon,784.0,2020-04-20T00:00:00
IE,Sligo,973.0,2020-04-20T00:00:00
IE,Wexford,977.0,2020-04-20T00:00:00
IE,Longford,982.0,2020-04-20T00:00:00
IE,Laois,1559.0,2020-04-20T00:00:00
IE,Waterford,1596.0,2020-04-20T00:00:00
IE,Monaghan,1848.0,2020-04-20T00:00:00
IE,Clare,2011.0,2020-04-20T00:00:00
IE,Offaly,2373.0,2020-04-20T00:00:00
IE,Kilkenny,2522.0,2020-04-20T00:00:00
IE,Mayo,3497.0,2020-04-20T00:00:00
IE,Kerry,3610.0,2020-04-20T00:00:00
IE,Louth,3876.0,2020-04-20T00:00:00
IE,Cavan,3917.0,2020-04-20T00:00:00
IE,Tipperary,3923.0,2020-04-20T00:00:00
IE,Galway,4039.0,2020-04-20T00:00:00
IE,Donegal,4094.0,2020-04-20T00:00:00
IE,Westmeath,4253.0,2020-04-20T00:00:00
IE,Limerick,4746.0,2020-04-20T00:00:00
IE,Wicklow,5374.0,2020-04-20T00:00:00
IE,Meath,5403.0,2020-04-20T00:00:00
IE,Kildare,7625.0,2020-04-20T00:00:00
IE,Cork,13670.0,2020-04-20T00:00:00
IE,Dublin,95143.0,2020-04-20T00:00:00
IE,Leitrim,649.0,2020-04-21T00:00:00
IE,Carlow,732.0,2020-04-21T00:00:00
IE,Roscommon,875.0,2020-04-21T00:00:00
IE,Sligo,1066.0,2020-04-21T00:00:00
IE,Longford,1076.0,2020-04-21T00:00:00
IE,Wexford,1091.0,2020-04-21T00:00:00
IE,Waterford,1713.0,2020-04-21T00:00:00
IE,Laois,1736.0,2020-04-21T00:00:00
IE,Monaghan,2047.0,2020-04-21T00:00:00
IE,Clare,2175.0,2020-04-21T00:00:00
IE,Offaly,2568.0,2020-04-21T00:00:00
IE,Kilkenny,2732.0,2020-04-21T00:00:00
IE,Mayo,3832.0,2020-04-21T00:00:00
IE,Kerry,3878.0,2020-04-21T00:00:00
IE,Tipperary,4229.0,2020-04-21T00:00:00
IE,Cavan,4320.0,2020-04-21T00:00:00
IE,Galway,4333.0,2020-04-21T00:00:00
IE,Louth,4345.0,2020-04-21T00:00:00
IE,Donegal,4486.0,2020-04-21T00:00:00
IE,Westmeath,4630.0,2020-04-21T00:00:00
IE,Limerick,5155.0,2020-04-21T00:00:00
IE,Wicklow,5820.0,2020-04-21T00:00:00
IE,Meath,5925.0,2020-04-21T00:00:00
IE,Kildare,8447.0,2020-04-21T00:00:00
IE,Cork,14723.0,2020-04-21T00:00:00
IE,Dublin,102924.0,2020-04-21T00:00:00
IE,Leitrim,704.0,2020-04-22T00:00:00
IE,Carlow,812.0,2020-04-22T00:00:00
IE,Roscommon,966.0,2020-04-22T00:00:00
IE,Sligo,1163.0,2020-04-22T00:00:00
IE,Longford,1177.0,2020-04-22T00:00:00
IE,Wexford,1228.0,2020-04-22T00:00:00
IE,Waterford,1832.0,2020-04-22T00:00:00
IE,Laois,1921.0,2020-04-22T00:00:00
IE,Monaghan,2267.0,2020-04-22T00:00:00
IE,Clare,2340.0,2020-04-22T00:00:00
IE,Offaly,2766.0,2020-04-22T00:00:00
IE,Kilkenny,2948.0,2020-04-22T00:00:00
IE,Kerry,4146.0,2020-04-22T00:00:00
IE,Mayo,4171.0,2020-04-22T00:00:00
IE,Tipperary,4549.0,2020-04-22T00:00:00
IE,Galway,4642.0,2020-04-22T00:00:00
IE,Cavan,4750.0,2020-04-22T00:00:00
IE,Louth,4834.0,2020-04-22T00:00:00
IE,Donegal,4902.0,2020-04-22T00:00:00
IE,Westmeath,5016.0,2020-04-22T00:00:00
IE,Limerick,5570.0,2020-04-22T00:00:00
IE,Wicklow,6283.0,2020-04-22T00:00:00
IE,Meath,6464.0,2020-04-22T00:00:00
IE,Kildare,9298.0,2020-04-22T00:00:00
IE,Cork,15800.0,2020-04-22T00:00:00
IE,Dublin,110829.0,2020-04-22T00:00:00
IE,Leitrim,760.0,2020-04-23T00:00:00
IE,Carlow,896.0,2020-04-23T00:00:00
IE,Roscommon,1058.0,2020-04-23T00:00:00
IE,Sligo,1261.0,2020-04-23T00:00:00
IE,Longford,1279.0,2020-04-23T00:00:00
IE,Wexford,1365.0,2020-04-23T00:00:00
IE,Waterford,1954.0,2020-04-23T00:00:00
IE,Laois,2113.0,2020-04-23T00:00:00
IE,Monaghan,2516.0,2020-04-23T00:00:00
IE,Clare,2527.0,2020-04-23T00:00:00
IE,Offaly,2971.0,2020-04-23T00:00:00
IE,Kilkenny,3170.0,2020-04-23T00:00:00
IE,Kerry,4417.0,2020-04-23T00:00:00
IE,Mayo,4536.0,2020-04-23T00:00:00
IE,Tipperary,4876.0,2020-04-23T00:00:00
IE,Galway,4957.0,2020-04-23T00:00:00
IE,Cavan,5216.0,2020-04-23T00:00:00
IE,Donegal,5333.0,2020-04-23T00:00:00
IE,Louth,5340.0,2020-04-23T00:00:00
IE,Westmeath,5411.0,2020-04-23T00:00:00
IE,Limerick,5990.0,2020-04-23T00:00:00
IE,Wicklow,6752.0,2020-04-23T00:00:00
