country,nuts_2,nuts_3,lau,cases,population,datetime
PT,Lisboa e Vale do Tejo,LISBOA,ODIVELAS,341,161774,2021-01-09T00:00:00
PT,Norte,PORTO,BAIÃO,341,18748,2021-01-09T00:00:00
PT,Centro,COIMBRA,MIRA,347,11832,2021-01-09T00:00:00
PT,Alentejo,BEJA,CUBA,348,4595,2021-01-09T00:00:00
PT,Norte,AVEIRO,CASTELO DE PAIVA,349,15454,2021-01-09T00:00:00
PT,Centro,CASTELO BRANCO,VILA VELHA DE RÓDÃO,350,3144,2021-01-09T00:00:00
PT,Centro,AVEIRO,ALBERGARIA-A-VELHA,352,24144,2021-01-09T00:00:00
PT,Norte,BRAGA,CELORICO DE BASTO,352,19040,2021-01-09T00:00:00
PT,Norte,PORTO,PAÇOS DE FERREIRA,353,56728,2021-01-09T00:00:00
PT,Centro,VISEU,SANTA COMBA DÃO,354,10452,2021-01-09T00:00:00
PT,Norte,VILA REAL,SABROSA,355,5918,2021-01-09T00:00:00
PT,Norte,VIANA DO CASTELO,ARCOS DE VALDEVEZ,358,20926,2021-01-09T00:00:00
PT,Centro,AVEIRO,SEVER DO VOUGA,362,11331,2021-01-09T00:00:00
PT,Centro,AVEIRO,OLIVEIRA DO BAIRRO,362,24277,2021-01-09T00:00:00
PT,Norte,BRAGANÇA,MIRANDELA,363,21754,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LEIRIA,ÓBIDOS,363,11850,2021-01-09T00:00:00
PT,Centro,COIMBRA,FIGUEIRA DA FOZ,363,58747,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,OEIRAS,368,177408,2021-01-09T00:00:00
PT,Norte,VISEU,SERNANCELHE,371,5396,2021-01-09T00:00:00
PT,Norte,VIANA DO CASTELO,PONTE DE LIMA,373,41315,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,GOLEGÃ,375,5339,2021-01-09T00:00:00
PT,Alentejo,BEJA,ODEMIRA,376,24717,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LEIRIA,PENICHE,377,26501,2021-01-09T00:00:00
PT,Centro,AVEIRO,ESTARREJA,377,26006,2021-01-09T00:00:00
PT,Norte,VISEU,MOIMENTA DA BEIRA,380,9736,2021-01-09T00:00:00
PT,Centro,VISEU,VILA NOVA DE PAIVA,384,4687,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,AMADORA,384,184106,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,AZAMBUJA,396,22716,2021-01-09T00:00:00
PT,Norte,VISEU,TAROUCA,397,7804,2021-01-09T00:00:00
PT,Norte,VIANA DO CASTELO,VIANA DO CASTELO,404,84417,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SETÚBAL,SETÚBAL,407,115126,2021-01-09T00:00:00
PT,Centro,GUARDA,AGUIAR DA BEIRA,408,4652,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SETÚBAL,SEIXAL,410,167752,2021-01-09T00:00:00
PT,Norte,BRAGA,FAFE,412,48060,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,SOBRAL DE MONTE AGRAÇO,413,10651,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SETÚBAL,SESIMBRA,417,51858,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SETÚBAL,MONTIJO,422,57614,2021-01-09T00:00:00
PT,Norte,PORTO,MAIA,423,138971,2021-01-09T00:00:00
PT,Alentejo,BEJA,BEJA,426,33579,2021-01-09T00:00:00
PT,Centro,GUARDA,SEIA,427,22234,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SETÚBAL,ALMADA,428,169039,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,SANTARÉM,430,57421,2021-01-09T00:00:00
PT,Norte,PORTO,PENAFIEL,431,69772,2021-01-09T00:00:00
PT,Centro,VISEU,NELAS,432,12974,2021-01-09T00:00:00
PT,Alentejo,PORTALEGRE,MONFORTE,437,2975,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,LISBOA,442,509515,2021-01-09T00:00:00
PT,Algarve,FARO,SÃO BRÁS DE ALPORTEL,442,10416,2021-01-09T00:00:00
PT,Centro,COIMBRA,COIMBRA,443,134166,2021-01-09T00:00:00
PT,Norte,AVEIRO,ESPINHO,444,29516,2021-01-09T00:00:00
