country,lau,cases,population,cases/100k pop.,datetime
FI,Rovaniemi,583,63663,915.759546361309,2021-08-13T11:00:00
FI,Joensuu,629,77077,816.067049833283,2021-08-13T11:00:00
FI,Raisio,632,24468,2582.96550596698,2021-08-13T11:00:00
FI,Kaarina,700,34667,2019.21135373698,2021-08-13T11:00:00
FI,Mikkeli,725,52669,1376.52129336042,2021-08-13T11:00:00
FI,Kotka,728,51888,1403.02189330866,2021-08-13T11:00:00
FI,Hyvinkää,794,46598,1703.93579123568,2021-08-13T11:00:00
FI,Tuusula,867,38809,2234.01788244995,2021-08-13T11:00:00
FI,Porvoo,873,50737,1720.63779884502,2021-08-13T11:00:00
FI,Kirkkonummi,874,40094,2179.87728837233,2021-08-13T11:00:00
FI,Nurmijärvi,963,43689,2204.21616425187,2021-08-13T11:00:00
FI,Rauma,984,39076,2518.16972054458,2021-08-13T11:00:00
FI,Kouvola,987,81338,1213.45496569869,2021-08-13T11:00:00
FI,Lappeenranta,1032,72735,1418.84924726748,2021-08-13T11:00:00
FI,Hämeenlinna,1053,68063,1547.09607275612,2021-08-13T11:00:00
FI,Järvenpää,1113,44509,2500.61785256914,2021-08-13T11:00:00
FI,Kuopio,1125,120344,934.820182144519,2021-08-13T11:00:00
FI,Salo,1141,51623,2210.25511884238,2021-08-13T11:00:00
FI,Kerava,1166,37163,3137.52926297662,2021-08-13T11:00:00
FI,Vaasa,1535,67638,2269.43434164227,2021-08-13T11:00:00
FI,Jyväskylä,2402,143613,1672.55053511869,2021-08-13T11:00:00
FI,Oulu,2748,207549,1324.02468814593,2021-08-13T11:00:00
FI,Lahti,3012,120133,2507.22116321077,2021-08-13T11:00:00
FI,Tampere,4640,241896,1918.17971359593,2021-08-13T11:00:00
FI,Turku,7172,194949,3678.91089464424,2021-08-13T11:00:00
FI,Espoo,11068,293432,3771.91308378091,2021-08-13T11:00:00
FI,Vantaa,12245,237437,5157.15747756247,2021-08-13T11:00:00
FI,Helsinki,32849,660164,4975.88478014554,2021-08-13T11:00:00
