"YEAR_WEEK","NIS5","AGEGROUP","DOSE","CUMUL"
"21W01",13010,"85+","A","<10"
"21W01",13011,"18-34","A","<10"
"21W01",13011,"35-44","A","<10"
"21W01",13011,"55-64","A","<10"
"21W01",13011,"75-84","A","<10"
"21W01",13011,"85+","A","<10"
"21W01",13012,"18-34","A","<10"
"21W01",13012,"45-54","A","<10"
"21W01",13012,"55-64","A","<10"
"21W01",13013,"18-34","A","<10"
"21W01",13013,"35-44","A","<10"
"21W01",13013,"45-54","A","14"
"21W01",13013,"55-64","A","10"
"21W01",13013,"65-74","A","12"
"21W01",13013,"75-84","A","91"
"21W01",13013,"85+","A","143"
"21W01",13014,"75-84","A","<10"
"21W01",13016,"18-34","A","<10"
"21W01",13016,"35-44","A","<10"
"21W01",13016,"45-54","A","<10"
"21W01",13016,"55-64","A","<10"
"21W01",13016,"75-84","A","<10"
"21W01",13016,"85+","A","<10"
"21W01",13017,"18-34","A","<10"
"21W01",13017,"35-44","A","<10"
"21W01",13017,"45-54","A","<10"
"21W01",13017,"55-64","A","13"
"21W01",13017,"65-74","A","<10"
"21W01",13017,"75-84","A","46"
"21W01",13017,"85+","A","76"
"21W01",13019,"18-34","A","<10"
"21W01",13019,"35-44","A","<10"
"21W01",13019,"45-54","A","11"
"21W01",13019,"55-64","A","10"
"21W01",13019,"65-74","A","<10"
"21W01",13019,"75-84","A","44"
"21W01",13019,"85+","A","85"
"21W01",13021,"45-54","A","<10"
"21W01",13023,"35-44","A","<10"
"21W01",13023,"55-64","A","<10"
"21W01",13025,"55-64","A","<10"
"21W01",13025,"75-84","A","<10"
"21W01",13029,"18-34","A","<10"
"21W01",13029,"35-44","A","<10"
"21W01",13029,"45-54","A","<10"
"21W01",13029,"55-64","A","<10"
"21W01",13031,"75-84","A","<10"
"21W01",13037,"85+","A","<10"
"21W01",13040,"45-54","A","<10"
"21W01",13040,"55-64","A","<10"
"21W01",13040,"75-84","A","<10"
"21W01",13044,"18-34","A","<10"
"21W01",13044,"35-44","A","<10"
"21W01",13044,"45-54","A","<10"
"21W01",13044,"65-74","A","<10"
"21W01",13044,"75-84","A","<10"
"21W01",13044,"85+","A","<10"
"21W01",13046,"18-34","A","<10"
"21W01",13046,"35-44","A","<10"
"21W01",13046,"55-64","A","<10"
"21W01",13046,"65-74","A","<10"
"21W01",13046,"75-84","A","<10"
"21W01",13046,"85+","A","<10"
"21W01",13049,"18-34","A","<10"
"21W01",13049,"35-44","A","<10"
"21W01",13049,"45-54","A","<10"
"21W01",13049,"55-64","A","<10"
"21W01",13049,"75-84","A","<10"
"21W01",13049,"85+","A","<10"
"21W01",13053,"18-34","A","<10"
"21W01",13053,"45-54","A","<10"
"21W01",13053,"55-64","A","<10"
"21W01",13053,"85+","A","<10"
"21W01",21001,"18-34","A","12"
"21W01",21001,"35-44","A","<10"
"21W01",21001,"45-54","A","16"
"21W01",21001,"55-64","A","58"
"21W01",21001,"65-74","A","82"
"21W01",21001,"75-84","A","159"
"21W01",21001,"85+","A","268"
"21W01",21002,"18-34","A","<10"
"21W01",21002,"35-44","A","<10"
"21W01",21002,"45-54","A","<10"
"21W01",21002,"55-64","A","<10"
"21W01",21002,"65-74","A","12"
"21W01",21002,"75-84","A","16"
"21W01",21002,"85+","A","36"
"21W01",21003,"18-34","A","<10"
"21W01",21003,"35-44","A","<10"
"21W01",21003,"45-54","A","<10"
"21W01",21003,"55-64","A","23"
"21W01",21003,"65-74","A","24"
"21W01",21003,"75-84","A","32"
"21W01",21003,"85+","A","64"
"21W01",21004,"18-34","A","24"
"21W01",21004,"35-44","A","17"
"21W01",21004,"45-54","A","18"
"21W01",21004,"55-64","A","69"
"21W01",21004,"65-74","A","95"
"21W01",21004,"75-84","A","128"
"21W01",21004,"85+","A","271"
"21W01",21005,"18-34","A","<10"
"21W01",21005,"35-44","A","<10"
"21W01",21005,"45-54","A","<10"
"21W01",21005,"55-64","A","<10"
"21W01",21005,"65-74","A","<10"
"21W01",21005,"75-84","A","<10"
"21W01",21005,"85+","A","<10"
"21W01",21006,"18-34","A","<10"
"21W01",21006,"35-44","A","<10"
"21W01",21006,"45-54","A","<10"
"21W01",21006,"55-64","A","10"
"21W01",21006,"65-74","A","15"
"21W01",21006,"75-84","A","29"
"21W01",21006,"85+","A","92"
"21W01",21007,"18-34","A","<10"
"21W01",21007,"35-44","A","<10"
"21W01",21007,"45-54","A","<10"
"21W01",21007,"55-64","A","11"
"21W01",21007,"65-74","A","19"
"21W01",21007,"75-84","A","40"
"21W01",21007,"85+","A","53"
"21W01",21008,"35-44","A","<10"
"21W01",21008,"45-54","A","<10"
"21W01",21008,"55-64","A","17"
"21W01",21008,"65-74","A","27"
"21W01",21008,"75-84","A","55"
"21W01",21008,"85+","A","74"
"21W01",21009,"18-34","A","<10"
"21W01",21009,"35-44","A","<10"
"21W01",21009,"45-54","A","<10"
"21W01",21009,"55-64","A","13"
"21W01",21009,"65-74","A","34"
"21W01",21009,"75-84","A","55"
"21W01",21009,"85+","A","147"
"21W01",21010,"18-34","A","<10"
"21W01",21010,"35-44","A","<10"
"21W01",21010,"45-54","A","<10"
"21W01",21010,"55-64","A","25"
"21W01",21010,"65-74","A","17"
"21W01",21010,"75-84","A","70"
"21W01",21010,"85+","A","163"
"21W01",21011,"18-34","A","<10"
"21W01",21011,"35-44","A","<10"
"21W01",21011,"45-54","A","<10"
"21W01",21011,"55-64","A","<10"
"21W01",21011,"65-74","A","<10"
"21W01",21011,"75-84","A","10"
"21W01",21011,"85+","A","33"
"21W01",21012,"18-34","A","<10"
"21W01",21012,"35-44","A","<10"
"21W01",21012,"45-54","A","13"
"21W01",21012,"55-64","A","18"
"21W01",21012,"65-74","A","33"
"21W01",21012,"75-84","A","45"
"21W01",21012,"85+","A","42"
"21W01",21013,"18-34","A","<10"
"21W01",21013,"35-44","A","<10"
"21W01",21013,"45-54","A","<10"
"21W01",21013,"55-64","A","10"
"21W01",21013,"65-74","A","14"
"21W01",21013,"75-84","A","23"
"21W01",21013,"85+","A","41"
"21W01",21014,"18-34","A","<10"
"21W01",21014,"55-64","A","<10"
"21W01",21014,"65-74","A","<10"
"21W01",21015,"18-34","A","<10"
"21W01",21015,"35-44","A","<10"
"21W01",21015,"45-54","A","12"
"21W01",21015,"55-64","A","23"
"21W01",21015,"65-74","A","27"
"21W01",21015,"75-84","A","40"
"21W01",21015,"85+","A","42"
"21W01",21016,"18-34","A","<10"
"21W01",21016,"35-44","A","<10"
"21W01",21016,"45-54","A","18"
"21W01",21016,"55-64","A","26"
"21W01",21016,"65-74","A","48"
"21W01",21016,"75-84","A","73"
"21W01",21016,"85+","A","147"
"21W01",21017,"18-34","A","<10"
"21W01",21017,"35-44","A","<10"
"21W01",21017,"45-54","A","15"
"21W01",21017,"55-64","A","44"
"21W01",21017,"65-74","A","92"
"21W01",21017,"75-84","A","95"
"21W01",21017,"85+","A","135"
"21W01",21018,"18-34","A","<10"
"21W01",21018,"35-44","A","<10"
"21W01",21018,"45-54","A","<10"
"21W01",21018,"55-64","A","<10"
"21W01",21018,"65-74","A","15"
"21W01",21018,"75-84","A","29"
"21W01",21018,"85+","A","70"
"21W01",21019,"18-34","A","<10"
"21W01",21019,"35-44","A","<10"
"21W01",21019,"45-54","A","<10"
"21W01",21019,"55-64","A","<10"
"21W01",21019,"65-74","A","10"
"21W01",21019,"75-84","A","18"
"21W01",21019,"85+","A","84"
"21W01",23002,"18-34","A","<10"
"21W01",23002,"35-44","A","<10"
"21W01",23002,"45-54","A","<10"
"21W01",23002,"55-64","A","<10"
"21W01",23002,"75-84","A","<10"
"21W01",23002,"85+","A","<10"
"21W01",23003,"18-34","A","<10"
"21W01",23003,"35-44","A","<10"
"21W01",23003,"45-54","A","<10"
"21W01",23003,"55-64","A","<10"
"21W01",23003,"65-74","A","<10"
"21W01",23009,"45-54","A","<10"
"21W01",23009,"55-64","A","<10"
"21W01",23016,"18-34","A","<10"
"21W01",23016,"35-44","A","<10"
"21W01",23016,"45-54","A","<10"
"21W01",23016,"55-64","A","10"
"21W01",23016,"65-74","A","<10"
"21W01",23016,"75-84","A","<10"
"21W01",23016,"85+","A","<10"
"21W01",23023,"35-44","A","<10"
"21W01",23023,"45-54","A","<10"
"21W01",23023,"85+","A","<10"
"21W01",23024,"55-64","A","<10"
"21W01",23025,"0-17","A","<10"
"21W01",23025,"18-34","A","<10"
"21W01",23025,"35-44","A","<10"
"21W01",23025,"45-54","A","10"
