country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Zeeland,Hulst,1552,,13,37,2021-04-22T10:00:00
NL,Gelderland,Elburg,1754,,14,37,2021-04-22T10:00:00
NL,Overijssel,Twenterand,3906,,30,38,2021-04-22T10:00:00
NL,Noord-Brabant,Boxmeer,2846,,43,38,2021-04-22T10:00:00
NL,Utrecht,Oudewater,914,,12,38,2021-04-22T10:00:00
NL,Utrecht,Lopik,1425,,12,38,2021-04-22T10:00:00
NL,Limburg,Meerssen,1212,,23,39,2021-04-22T10:00:00
NL,Zuid-Holland,Wassenaar,1800,,30,39,2021-04-22T10:00:00
NL,Overijssel,Raalte,3069,,41,39,2021-04-22T10:00:00
NL,Utrecht,Leusden,2083,,23,39,2021-04-22T10:00:00
NL,Zuid-Holland,Nieuwkoop,2906,,21,39,2021-04-22T10:00:00
NL,Gelderland,Berkelland,3351,,42,39,2021-04-22T10:00:00
NL,Gelderland,Buren,2106,,19,39,2021-04-22T10:00:00
NL,Zeeland,Reimerswaal,2334,,16,39,2021-04-22T10:00:00
NL,Noord-Brabant,Goirle,2062,,36,39,2021-04-22T10:00:00
NL,Gelderland,Zaltbommel,3385,,41,39,2021-04-22T10:00:00
NL,Zeeland,Schouwen-Duiveland,1701,,23,40,2021-04-22T10:00:00
NL,Gelderland,Wageningen,2609,,41,40,2021-04-22T10:00:00
NL,Overijssel,Hellendoorn,3859,,49,40,2021-04-22T10:00:00
NL,Noord-Brabant,Son en Breugel,1322,,27,40,2021-04-22T10:00:00
NL,Gelderland,Maasdriel,3041,,42,40,2021-04-22T10:00:00
NL,Gelderland,Ermelo,2192,,33,40,2021-04-22T10:00:00
NL,Gelderland,Oude IJsselstreek,3457,,44,40,2021-04-22T10:00:00
NL,Noord-Brabant,Boekel,840,,23,40,2021-04-22T10:00:00
NL,Fryslân,Noardeast-Fryslân,2851,,36,40,2021-04-22T10:00:00
NL,Gelderland,Druten,1662,,27,40,2021-04-22T10:00:00
NL,Limburg,Maasgouw,2179,,34,41,2021-04-22T10:00:00
NL,Zeeland,Sluis,1268,,18,41,2021-04-22T10:00:00
NL,Gelderland,Montferland,2616,,23,41,2021-04-22T10:00:00
NL,Zuid-Holland,Albrandswaard,2582,,21,42,2021-04-22T10:00:00
NL,Groningen,Oldambt,2522,,36,42,2021-04-22T10:00:00
NL,Noord-Brabant,Rucphen,1977,,16,42,2021-04-22T10:00:00
NL,Noord-Brabant,Dongen,2614,,25,43,2021-04-22T10:00:00
NL,Noord-Brabant,Moerdijk,2884,,39,43,2021-04-22T10:00:00
NL,Noord-Holland,Beverwijk,3762,,41,43,2021-04-22T10:00:00
NL,Zuid-Holland,,2210,,15,43,2021-04-22T10:00:00
NL,Groningen,Eemsdelta,2536,,18,43,2021-04-22T10:00:00
NL,Limburg,Nederweert,2041,,20,44,2021-04-22T10:00:00
NL,Noord-Brabant,Drimmelen,2132,,27,44,2021-04-22T10:00:00
NL,Zuid-Holland,Papendrecht,3006,,45,44,2021-04-22T10:00:00
NL,Noord-Holland,Diemen,2675,,31,45,2021-04-22T10:00:00
NL,Limburg,Roerdalen,1743,,33,45,2021-04-22T10:00:00
NL,Zuid-Holland,Gorinchem,3541,,37,45,2021-04-22T10:00:00
NL,Gelderland,Culemborg,2351,,22,45,2021-04-22T10:00:00
NL,Noord-Brabant,Someren,1959,,13,46,2021-04-22T10:00:00
NL,Noord-Brabant,Loon op Zand,2299,,35,46,2021-04-22T10:00:00
NL,Flevoland,Urk,2259,,14,46,2021-04-22T10:00:00
NL,Noord-Brabant,Eersel,2095,,25,46,2021-04-22T10:00:00
NL,Fryslân,De Fryske Marren,3065,,31,46,2021-04-22T10:00:00
NL,Zuid-Holland,Krimpen aan den IJssel,3312,,69,46,2021-04-22T10:00:00
NL,Overijssel,Zwartewaterland,2177,,29,47,2021-04-22T10:00:00
NL,Noord-Holland,Hollands Kroon,3965,,32,47,2021-04-22T10:00:00
NL,Overijssel,Losser,2274,,32,47,2021-04-22T10:00:00
NL,Gelderland,Oldebroek,1991,,30,48,2021-04-22T10:00:00
NL,Zuid-Holland,Molenlanden,4797,,33,48,2021-04-22T10:00:00
NL,Noord-Brabant,Boxtel,2986,,67,49,2021-04-22T10:00:00
NL,Gelderland,Nijkerk,4013,,28,49,2021-04-22T10:00:00
NL,Gelderland,Zutphen,2651,,29,49,2021-04-22T10:00:00
NL,Noord-Holland,Schagen,4029,,54,49,2021-04-22T10:00:00
NL,Noord-Brabant,Sint-Michielsgestel,2757,,34,50,2021-04-22T10:00:00
NL,Groningen,Midden-Groningen,3340,,37,50,2021-04-22T10:00:00
NL,Overijssel,Rijssen-Holten,4019,,50,51,2021-04-22T10:00:00
NL,Drenthe,Assen,3278,,14,51,2021-04-22T10:00:00
NL,Noord-Brabant,Landerd,1668,,27,51,2021-04-22T10:00:00
NL,Overijssel,Oldenzaal,2816,,45,52,2021-04-22T10:00:00
NL,Noord-Brabant,Best,2665,,30,52,2021-04-22T10:00:00
NL,Gelderland,Barneveld,6835,,60,52,2021-04-22T10:00:00
NL,Drenthe,Coevorden,2552,,31,54,2021-04-22T10:00:00
NL,Noord-Brabant,Oisterwijk,2720,,22,54,2021-04-22T10:00:00
NL,Noord-Brabant,Valkenswaard,2970,,60,54,2021-04-22T10:00:00
NL,Noord-Holland,Gooise Meren,4388,,31,54,2021-04-22T10:00:00
NL,Gelderland,Berg en Dal,2748,,48,55,2021-04-22T10:00:00
NL,Noord-Brabant,Halderberge,2510,,27,55,2021-04-22T10:00:00
NL,Noord-Holland,Heerhugowaard,4977,,34,56,2021-04-22T10:00:00
NL,Noord-Holland,Den Helder,4747,,34,56,2021-04-22T10:00:00
NL,Gelderland,Heerde,1140,,32,56,2021-04-22T10:00:00
NL,Noord-Holland,Medemblik,5026,,25,56,2021-04-22T10:00:00
NL,Gelderland,Doetinchem,4187,,27,57,2021-04-22T10:00:00
NL,Zuid-Holland,Hellevoetsluis,3012,,42,57,2021-04-22T10:00:00
NL,Noord-Holland,Huizen,3634,,53,57,2021-04-22T10:00:00
NL,Noord-Brabant,Laarbeek,2114,,36,58,2021-04-22T10:00:00
NL,Overijssel,Hardenberg,5099,,37,58,2021-04-22T10:00:00
NL,Noord-Holland,Heemskerk,3556,,32,59,2021-04-22T10:00:00
NL,Gelderland,Rheden,3155,,56,59,2021-04-22T10:00:00
NL,Utrecht,Bunschoten,3923,,39,59,2021-04-22T10:00:00
NL,Limburg,Horst aan de Maas,4971,,61,60,2021-04-22T10:00:00
NL,Limburg,Venray,4905,,44,60,2021-04-22T10:00:00
NL,Zeeland,Tholen,2198,,24,61,2021-04-22T10:00:00
NL,Flevoland,Dronten,2677,,24,61,2021-04-22T10:00:00
NL,Gelderland,Neder-Betuwe,2389,,32,61,2021-04-22T10:00:00
NL,Gelderland,Lingewaard,3256,,30,62,2021-04-22T10:00:00
NL,Limburg,Echt-Susteren,2568,,34,62,2021-04-22T10:00:00
NL,Zuid-Holland,Pijnacker-Nootdorp,4640,,35,63,2021-04-22T10:00:00
NL,Zuid-Holland,Maassluis,2989,,34,64,2021-04-22T10:00:00
NL,Utrecht,Houten,3539,,51,65,2021-04-22T10:00:00
NL,Fryslân,Súdwest-Fryslân,6931,,88,65,2021-04-22T10:00:00
NL,Zuid-Holland,Noordwijk,3702,,21,65,2021-04-22T10:00:00
NL,Zuid-Holland,Waddinxveen,2625,,14,65,2021-04-22T10:00:00
NL,Noord-Brabant,Etten-Leur,3139,,38,67,2021-04-22T10:00:00
NL,Limburg,Stein,1978,,22,67,2021-04-22T10:00:00
NL,Noord-Brabant,Waalwijk,4424,,76,68,2021-04-22T10:00:00
NL,Drenthe,Hoogeveen,3990,,40,68,2021-04-22T10:00:00
NL,Utrecht,Soest,3498,,46,70,2021-04-22T10:00:00
NL,Zuid-Holland,Bodegraven-Reeuwijk,3548,,35,70,2021-04-22T10:00:00
NL,Overijssel,Hengelo (O.),6261,,66,70,2021-04-22T10:00:00
NL,Zeeland,Goes,2217,,26,70,2021-04-22T10:00:00
NL,Zeeland,Middelburg,3001,,25,70,2021-04-22T10:00:00
NL,Gelderland,Overbetuwe,2966,,29,71,2021-04-22T10:00:00
NL,Noord-Brabant,Vught,2794,,53,71,2021-04-22T10:00:00
NL,Limburg,Leudal,3507,,48,73,2021-04-22T10:00:00
NL,Noord-Brabant,Geldrop-Mierlo,3757,,27,74,2021-04-22T10:00:00
NL,Gelderland,Wijchen,3275,,51,74,2021-04-22T10:00:00
NL,Limburg,Eijsden-Margraten,1833,,45,74,2021-04-22T10:00:00
NL,Utrecht,De Bilt,3283,,78,75,2021-04-22T10:00:00
NL,Gelderland,Zevenaar,2768,,47,75,2021-04-22T10:00:00
NL,Gelderland,Epe,2417,,49,75,2021-04-22T10:00:00
NL,Overijssel,Kampen,3056,,43,76,2021-04-22T10:00:00
NL,Noord-Brabant,Heusden,4246,,48,76,2021-04-22T10:00:00
NL,Limburg,Brunssum,2310,,49,77,2021-04-22T10:00:00
NL,Gelderland,Nunspeet,1970,,31,78,2021-04-22T10:00:00
NL,Noord-Brabant,Cranendonck,2290,,51,78,2021-04-22T10:00:00
NL,Utrecht,IJsselstein,2752,,55,78,2021-04-22T10:00:00
NL,Noord-Brabant,Veldhoven,4430,,49,79,2021-04-22T10:00:00
NL,Gelderland,Harderwijk,3810,,47,80,2021-04-22T10:00:00
NL,Groningen,Groningen,11687,,44,81,2021-04-22T10:00:00
NL,Noord-Brabant,Oosterhout,4404,,35,81,2021-04-22T10:00:00
NL,Noord-Holland,Hilversum,5885,,80,81,2021-04-22T10:00:00
NL,Zuid-Holland,Zwijndrecht,4699,,91,82,2021-04-22T10:00:00
NL,Noord-Brabant,Deurne,2999,,41,84,2021-04-22T10:00:00
NL,Limburg,Beekdaelen,2841,,45,84,2021-04-22T10:00:00
NL,Utrecht,Zeist,4404,,71,84,2021-04-22T10:00:00
NL,Noord-Brabant,Altena,6062,,68,84,2021-04-22T10:00:00
NL,Gelderland,West Betuwe,5049,,60,84,2021-04-22T10:00:00
NL,Gelderland,Tiel,3754,,73,84,2021-04-22T10:00:00
NL,Zuid-Holland,Lansingerland,5677,,63,85,2021-04-22T10:00:00
NL,Utrecht,Utrechtse Heuvelrug,3614,,73,86,2021-04-22T10:00:00
NL,Fryslân,Leeuwarden,6421,,69,86,2021-04-22T10:00:00
NL,Limburg,Landgraaf,2970,,64,87,2021-04-22T10:00:00
NL,Overijssel,Deventer,6909,,83,87,2021-04-22T10:00:00
NL,Noord-Holland,Edam-Volendam,4476,,19,87,2021-04-22T10:00:00
NL,Zuid-Holland,Delft,7998,,74,91,2021-04-22T10:00:00
NL,Noord-Brabant,Bergen op Zoom,5904,,41,91,2021-04-22T10:00:00
NL,Noord-Holland,Hoorn,7948,,55,91,2021-04-22T10:00:00
NL,Overijssel,Zwolle,7079,,108,93,2021-04-22T10:00:00
NL,Overijssel,Almelo,6529,,55,95,2021-04-22T10:00:00
NL,Zuid-Holland,Barendrecht,4712,,47,95,2021-04-22T10:00:00
NL,Limburg,Roermond,5189,,54,95,2021-04-22T10:00:00
NL,Noord-Holland,Velsen,6280,,89,96,2021-04-22T10:00:00
NL,Noord-Brabant,Gemert-Bakel,2399,,38,98,2021-04-22T10:00:00
NL,Noord-Brabant,Roosendaal,6797,,72,99,2021-04-22T10:00:00
NL,Zuid-Holland,Katwijk,7865,,56,105,2021-04-22T10:00:00
NL,Limburg,Weert,5391,,68,106,2021-04-22T10:00:00
NL,Zuid-Holland,Ridderkerk,4992,,86,106,2021-04-22T10:00:00
NL,Zeeland,Terneuzen,3555,,28,107,2021-04-22T10:00:00
NL,Zuid-Holland,Zuidplas,4135,,45,108,2021-04-22T10:00:00
NL,Noord-Brabant,Bernheze,3149,,78,109,2021-04-22T10:00:00
NL,Utrecht,De Ronde Venen,3471,,34,112,2021-04-22T10:00:00
NL,Utrecht,Vijfheerenlanden,5469,,68,113,2021-04-22T10:00:00
NL,Zeeland,Vlissingen,2867,,31,114,2021-04-22T10:00:00
NL,Utrecht,Nieuwegein,4695,,27,120,2021-04-22T10:00:00
NL,Zuid-Holland,Leiden,8977,,69,120,2021-04-22T10:00:00
NL,Zuid-Holland,Goeree-Overflakkee,3840,,86,122,2021-04-22T10:00:00
NL,Limburg,Kerkrade,3281,,96,124,2021-04-22T10:00:00
NL,Noord-Holland,Amstelveen,6370,,89,125,2021-04-22T10:00:00
NL,Noord-Holland,Alkmaar,8407,,74,125,2021-04-22T10:00:00
NL,Zuid-Holland,Rijswijk,4296,,74,126,2021-04-22T10:00:00
NL,Utrecht,Veenendaal,7259,,71,128,2021-04-22T10:00:00
NL,Utrecht,Woerden,4391,,39,129,2021-04-22T10:00:00
NL,Flevoland,Lelystad,5148,,59,130,2021-04-22T10:00:00
NL,Gelderland,Ede,10376,,80,132,2021-04-22T10:00:00
NL,Utrecht,Stichtse Vecht,5042,,65,133,2021-04-22T10:00:00
NL,Zuid-Holland,Leidschendam-Voorburg,5599,,82,135,2021-04-22T10:00:00
NL,Noord-Brabant,Uden,3530,,85,136,2021-04-22T10:00:00
NL,Zuid-Holland,Krimpenerwaard,5528,,62,136,2021-04-22T10:00:00
NL,Drenthe,Emmen,8101,,75,141,2021-04-22T10:00:00
NL,Zuid-Holland,Hoeksche Waard,7473,,61,145,2021-04-22T10:00:00
NL,Zuid-Holland,Zoetermeer,9866,,66,153,2021-04-22T10:00:00
NL,Limburg,Peel en Maas,4225,,82,161,2021-04-22T10:00:00
NL,Zuid-Holland,Vlaardingen,7438,,89,161,2021-04-22T10:00:00
NL,Zuid-Holland,Nissewaard,7666,,94,164,2021-04-22T10:00:00
NL,Zuid-Holland,Capelle aan den IJssel,6780,,136,167,2021-04-22T10:00:00
NL,Noord-Holland,Haarlemmermeer,12237,,106,170,2021-04-22T10:00:00
NL,Gelderland,Arnhem,10832,,122,174,2021-04-22T10:00:00
NL,Zuid-Holland,Westland,12106,,86,176,2021-04-22T10:00:00
NL,Zuid-Holland,Alphen aan den Rijn,10069,,113,177,2021-04-22T10:00:00
NL,Noord-Holland,Purmerend,7192,,82,181,2021-04-22T10:00:00
NL,Limburg,Sittard-Geleen,6745,,133,189,2021-04-22T10:00:00
NL,Gelderland,Apeldoorn,10766,,141,192,2021-04-22T10:00:00
NL,Noord-Brabant,Helmond,9353,,83,195,2021-04-22T10:00:00
NL,Noord-Holland,Haarlem,11371,,147,196,2021-04-22T10:00:00
NL,Limburg,Venlo,11199,,153,202,2021-04-22T10:00:00
NL,Overijssel,Enschede,11947,,167,206,2021-04-22T10:00:00
NL,Zuid-Holland,Schiedam,8194,,109,215,2021-04-22T10:00:00
NL,Limburg,Heerlen,6159,,123,220,2021-04-22T10:00:00
NL,Zuid-Holland,Gouda,6853,,152,221,2021-04-22T10:00:00
NL,Noord-Brabant,'s-Hertogenbosch,13844,,160,231,2021-04-22T10:00:00
NL,Utrecht,Amersfoort,12517,,134,232,2021-04-22T10:00:00
NL,Noord-Brabant,Breda,13592,,144,234,2021-04-22T10:00:00
NL,Noord-Brabant,Oss,8929,,127,236,2021-04-22T10:00:00
NL,Zuid-Holland,Dordrecht,12603,,164,243,2021-04-22T10:00:00
NL,Noord-Brabant,Meierijstad,7434,,163,253,2021-04-22T10:00:00
NL,Gelderland,Nijmegen,13021,,181,254,2021-04-22T10:00:00
NL,Noord-Holland,Zaanstad,13938,,172,284,2021-04-22T10:00:00
NL,Limburg,Maastricht,8246,,193,292,2021-04-22T10:00:00
NL,Flevoland,Almere,17812,,95,315,2021-04-22T10:00:00
NL,Noord-Brabant,Tilburg,20258,,272,380,2021-04-22T10:00:00
NL,Noord-Brabant,Eindhoven,19127,,341,407,2021-04-22T10:00:00
NL,Utrecht,Utrecht,28100,,232,665,2021-04-22T10:00:00
NL,Zuid-Holland,'s-Gravenhage,46005,,542,1445,2021-04-22T10:00:00
NL,Zuid-Holland,Rotterdam,66160,,914,1753,2021-04-22T10:00:00
NL,Noord-Holland,Amsterdam,77802,,751,1819,2021-04-22T10:00:00
