country,lau,hospitalized,population,hospitalized/100k pop.,deaths,cases,datetime
NL,Heemstede,5,27239.0,18.4,,,2020-04-02T17:21:00
NL,Hattem,5,12213.0,40.9,,,2020-04-02T17:21:00
NL,Hoogeveen,5,55697.0,9.0,,,2020-04-02T17:21:00
NL,Hilvarenbeek,5,15514.0,32.2,,,2020-04-02T17:21:00
NL,Blaricum,5,11536.0,43.3,,,2020-04-02T17:21:00
NL,Albrandswaard,5,25589.0,19.5,,,2020-04-02T17:21:00
NL,Weesp,5,19729.0,25.3,,,2020-04-02T17:21:00
NL,Wijdemeren,5,24360.0,20.5,,,2020-04-02T17:21:00
NL,Voorschoten,5,25603.0,19.5,,,2020-04-02T17:21:00
NL,Bergeijk,5,18638.0,26.8,,,2020-04-02T17:21:00
NL,Doetinchem,5,58009.0,8.6,,,2020-04-02T17:21:00
NL,Koggenland,6,22752.0,26.4,,,2020-04-02T17:21:00
NL,Hellevoetsluis,6,40158.0,14.9,,,2020-04-02T17:21:00
NL,Zandvoort,6,17116.0,35.1,,,2020-04-02T17:21:00
NL,Heeze-Leende,6,16150.0,37.2,,,2020-04-02T17:21:00
NL,Den Helder,6,56305.0,10.7,,,2020-04-02T17:21:00
NL,Vaals,6,10099.0,59.4,,,2020-04-02T17:21:00
NL,Wageningen,6,39673.0,15.1,,,2020-04-02T17:21:00
NL,Coevorden,6,35296.0,17.0,,,2020-04-02T17:21:00
NL,Asten,6,16734.0,35.9,,,2020-04-02T17:21:00
NL,Waddinxveen,6,29293.0,20.5,,,2020-04-02T17:21:00
NL,Aalsmeer,6,31857.0,18.8,,,2020-04-02T17:21:00
NL,Emmen,6,107055.0,5.6,,,2020-04-02T17:21:00
NL,Voorst,6,24546.0,24.4,,,2020-04-02T17:21:00
NL,Ommen,6,18007.0,33.3,,,2020-04-02T17:21:00
NL,Olst-Wijhe,6,18251.0,32.9,,,2020-04-02T17:21:00
NL,Vlissingen,6,44365.0,13.5,,,2020-04-02T17:21:00
NL,Oirschot,6,18723.0,32.0,,,2020-04-02T17:21:00
NL,Moerdijk,6,37136.0,16.2,,,2020-04-02T17:21:00
NL,Mill en Sint Hubert,6,10941.0,54.8,,,2020-04-02T17:21:00
NL,Haaksbergen,6,24309.0,24.7,,,2020-04-02T17:21:00
NL,Cuijk,6,25139.0,23.9,,,2020-04-02T17:21:00
NL,Twenterand,6,33743.0,17.8,,,2020-04-02T17:21:00
NL,Schouwen-Duiveland,7,33858.0,20.7,,,2020-04-02T17:21:00
NL,Steenwijkerland,7,44139.0,15.9,,,2020-04-02T17:21:00
NL,Beek,7,15868.0,44.1,,,2020-04-02T17:21:00
NL,Laren,7,11274.0,62.1,,,2020-04-02T17:21:00
NL,Beverwijk,7,41613.0,16.8,,,2020-04-02T17:21:00
NL,Wijk bij Duurstede,7,23910.0,29.3,,,2020-04-02T17:21:00
NL,Teylingen,7,37426.0,18.7,,,2020-04-02T17:21:00
NL,Meerssen,7,18832.0,37.2,,,2020-04-02T17:21:00
NL,Noordoostpolder,7,47262.0,14.8,,,2020-04-02T17:21:00
NL,Steenbergen,7,24501.0,28.6,,,2020-04-02T17:21:00
NL,Veenendaal,7,66491.0,10.5,,,2020-04-02T17:21:00
NL,Assen,7,68606.0,10.2,,,2020-04-02T17:21:00
NL,Heerenveen,7,50494.0,13.9,,,2020-04-02T17:21:00
NL,Goes,7,38080.0,18.4,,,2020-04-02T17:21:00
NL,Voerendaal,7,12471.0,56.1,,,2020-04-02T17:21:00
NL,Waterland,8,17422.0,45.9,,,2020-04-02T17:21:00
NL,Harderwijk,8,48429.0,16.5,,,2020-04-02T17:21:00
NL,Simpelveld,8,10552.0,75.8,,,2020-04-02T17:21:00
NL,Valkenswaard,8,31200.0,25.6,,,2020-04-02T17:21:00
NL,Leidschendam-Voorburg,8,76553.0,10.5,,,2020-04-02T17:21:00
NL,Castricum,8,35988.0,22.2,,,2020-04-02T17:21:00
NL,Noordwijk,8,43528.0,18.4,,,2020-04-02T17:21:00
NL,Langedijk,8,28157.0,28.4,,,2020-04-02T17:21:00
NL,Barneveld,8,59077.0,13.5,,,2020-04-02T17:21:00
NL,Tubbergen,8,21279.0,37.6,,,2020-04-02T17:21:00
NL,Oldebroek,8,23645.0,33.8,,,2020-04-02T17:21:00
NL,Hengelo,8,81147.0,9.9,,,2020-04-02T17:21:00
NL,Geertruidenberg,8,21538.0,37.1,,,2020-04-02T17:21:00
NL,Dalfsen,9,28585.0,31.5,,,2020-04-02T17:21:00
NL,Veldhoven,9,45458.0,19.8,,,2020-04-02T17:21:00
NL,Uithoorn,9,29466.0,30.5,,,2020-04-02T17:21:00
NL,Boxtel,9,30803.0,29.2,,,2020-04-02T17:21:00
NL,Maassluis,9,33216.0,27.1,,,2020-04-02T17:21:00
NL,Zwijndrecht,9,44741.0,20.1,,,2020-04-02T17:21:00
NL,Halderberge,9,30277.0,29.7,,,2020-04-02T17:21:00
NL,West Maas en Waal,9,19320.0,46.6,,,2020-04-02T17:21:00
NL,Zutphen,9,47942.0,18.8,,,2020-04-02T17:21:00
NL,Montfoort,9,13920.0,64.7,,,2020-04-02T17:21:00
NL,Gulpen-Wittem,10,14176.0,70.5,,,2020-04-02T17:21:00
